#C1:SOD C2:DOY C3:YEAR C4:CONST C5:PRN C6:xCM C7:yCM C8:zCM
  300       11     2024     E 02    21311.212339   -20545.929609     -811.553141
  300       11     2024     E 03    18305.349299   -10320.089512   -20849.909588
  300       11     2024     E 04     3092.235697    17759.324489    23483.257455
  300       11     2024     E 05    28804.242825     3040.687988    -6112.463832
  300       11     2024     E 07   -22234.789062   -14892.057273   -12651.274676
  300       11     2024     E 08    -2396.574778   -17537.790107   -23727.766189
  300       11     2024     E 09    22158.624324    14856.759880    12814.420656
  300       11     2024     E 10     9368.986723    27978.046052     2358.273005
  300       11     2024     E 11    14535.957227    22621.896696    12389.039137
  300       11     2024     E 12     3258.231854    28614.763542    -6877.595533
  300       11     2024     E 13   -14248.299167   -23103.174186   -11786.533728
  300       11     2024     E 14    -1393.013691   -17339.850005    19139.195142
  300       11     2024     E 15    -2927.020966   -28499.894212     7438.020306
  300       11     2024     E 18   -10990.363650    16946.306038   -23143.151600
  300       11     2024     E 19   -20306.383673     8718.680612    19694.438018
  300       11     2024     E 21   -23159.421850     6435.038686    17261.678055
  300       11     2024     E 24    11314.320389    12526.511160   -24335.165783
  300       11     2024     E 25    23069.936482    -6083.498227   -17529.030935
  300       11     2024     E 26   -17118.601363    -3507.186399   -23879.640526
  300       11     2024     E 27   -11640.401302   -12121.025387    24362.920601
  300       11     2024     E 30     6914.519941   -23377.039386    16788.036255
  300       11     2024     E 31    -6583.069891    23297.074149   -17023.881470
  300       11     2024     E 33   -10246.503686    16592.096338   -22257.587906
  300       11     2024     E 34     9901.420765   -17152.495064    22002.913185
  300       11     2024     E 36    17063.034614     4295.801356    23813.572632
  600       11     2024     G 01    14313.539754    -2254.269920    21927.346573
  600       11     2024     G 02    17041.139771     4690.524139    20401.619674
  600       11     2024     G 03    20591.902289    -7741.458397    14659.547114
  600       11     2024     G 04    25158.323239      421.890091    -8700.633706
  600       11     2024     G 05   -16148.971698    -3240.193012   -21032.784082
  600       11     2024     G 06    -5943.772241   -25722.062933     2409.030532
  600       11     2024     G 07     8124.262430   -17152.339518   -17899.479142
  600       11     2024     G 08    26276.285594     5234.489050     -143.662826
  600       11     2024     G 09    17539.750869    -9211.728109   -17804.674789
  600       11     2024     G 10    -7259.815072    21420.975604    13852.874272
  600       11     2024     G 11   -11907.989760   -22089.679367    -8750.183239
  600       11     2024     G 12   -21258.590419     6343.626944    14267.618888
  600       11     2024     G 13   -21515.212555   -13855.275814    -7723.872258
  600       11     2024     G 14    10851.962570   -21794.349531    10417.190156
  600       11     2024     G 15   -26532.761876    -2705.844443     -916.812976
  600       11     2024     G 16    11438.467499    10285.682102   -21996.807415
  600       11     2024     G 17     4104.702586   -14619.548834    22221.419400
  600       11     2024     G 18    -7196.043619    18366.033025   -17681.393957
  600       11     2024     G 19    -6633.979675   -16493.525262    19657.177304
  600       11     2024     G 20    -7151.856460   -15551.592279   -20293.217888
  600       11     2024     G 21    17711.761070    10002.954158    18058.651205
  600       11     2024     G 22     5020.548569   -20353.242148    16913.752379
  600       11     2024     G 23   -16300.447848    20736.769206     2088.933306
  600       11     2024     G 24   -17554.920848    -6281.057584    18655.787834
  600       11     2024     G 25   -19832.461168    16562.534415     5145.601673
