#SOD C PRN   ELEV    AZIM     FLAG  LEO-X         LEO-Y           LEO-Z  LEO-APO-X LEO-APO-Y LEO-APO-Z  SAT-X         SAT-Y           SAT-Z  SAT-APO-X SAT-APO-Y SAT-APO-Z         SAT-CLK CODE-BIA PHASE-BIA     TOF          DTR       CORR-CODE     CORR-PHASE       GEOM-RNGE   CODE-RES  PHASE-RES       RCVR-CLK       SUERE   
00010 G 17   41.200   52.500    0          0.000          0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000    0.000    0.000    0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00010 G 19   69.500   80.800    0          0.000          0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000    0.000    0.000    0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00010 G 22   35.400   72.500    0          0.000          0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000    0.000    0.000    0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00010 G 24   62.700  288.800    0          0.000          0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000    0.000    0.000    0.000          0.000    0.000    0.000    0.000          0.000          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 E 15   30.900  120.000    0   -3967103.544   -3879969.989    5361031.926   -0.587   -1.254    0.137   -2932601.148  -28702656.564    6608347.772   -0.006    0.996   -0.286     -23831.816    0.000    0.000   82.976      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 E 19   28.600  294.000    0   -3967103.544   -3879969.989    5361031.926   -0.587   -1.254    0.137  -19763263.625    8855838.906   20180032.418    0.785   -0.237   -0.563    -251132.705    0.000    0.000   83.812      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 E 21   30.200  279.500    0   -3967103.544   -3879969.989    5361031.926   -0.587   -1.254    0.137  -23509233.324    6759516.615   16654135.858    0.844   -0.296   -0.748    -171858.227    0.000    0.000   83.233      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 E 27   74.800  358.400    0   -3967103.544   -3879969.989    5361031.926   -0.587   -1.254    0.137  -12127659.026  -11639925.125   24359466.393    0.319    0.397   -0.908     -73820.326    0.000    0.000   73.668      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 E 30   30.300   77.800    0   -3967103.544   -3879969.989    5361031.926   -0.587   -1.254    0.137    6581034.464  -23030653.386   17389037.635   -0.321    0.700   -0.589    -244124.850    0.000    0.000   83.237      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 06   22.700  137.000    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149   -6082601.072  -25791305.003     531607.751   -0.030    1.454   -0.181     134611.281    1.144    0.000   75.175      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 12   23.400  274.900    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149  -21934248.622    7128660.021   12826033.184    0.585   -0.200   -0.352    -139885.034    0.799    0.000   74.567      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 14   15.200   81.700    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149   10140724.664  -21336170.744   11979647.360   -0.693    1.601   -0.849      88522.605    0.100    0.000   78.054      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 15   19.700  230.600    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149  -26520548.346   -2501825.126     882714.598    0.572    0.057   -0.023      34764.148    0.748    0.000   76.837      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 17   41.100   52.000    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149    2602172.809  -15084531.657   22127221.551   -0.072    0.399   -0.585     215901.917    0.384    0.000   70.744      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 19   69.700   79.000    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149   -7999593.420  -16928157.186   18788293.085    0.209    0.458   -0.513     127357.152   -1.776    0.000   63.885      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 22   35.500   72.200    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149    4033817.379  -19610835.881   18030276.564   -0.143    0.684   -0.623      15113.676   -0.723    0.000   72.468      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00020 G 24   62.200  289.800    0   -3967103.553   -3879969.998    5361031.938   -0.596   -1.263    0.149  -17107139.075   -4896902.807   19428628.717    0.581    0.265   -1.255    -123339.455    0.780    0.000   64.300      -9999.900          0.000          0.000          0.000     0.0000     0.0000          0.000     0.0000 
00030 E 15   31.500  120.000    1   -3970897.651   -3934748.098    5318166.803   -0.584   -1.257    0.125   -2932587.636  -28695802.569    6638113.875   -0.006    0.996   -0.287     -23832.403    0.000    0.000   82.784         -0.581   24817939.499   24817939.688   24817940.416    -0.0918     0.0974         -0.825     0.8000 
00030 E 19   28.100  294.400    1   -3970897.651   -3934748.098    5318166.803   -0.584   -1.257    0.125  -19782825.313    8850683.142   20163110.594    0.786   -0.237   -0.563    -251132.587    0.000    0.000   83.980         -0.105   25176509.575   25176509.390   25176510.174     0.2266     0.0414         -0.825     0.8000 
00030 E 21   29.900  280.100    1   -3970897.651   -3934748.098    5318166.803   -0.584   -1.257    0.125  -23496834.312    6748272.705   16676177.409    0.843   -0.296   -0.749    -171858.469    0.000    0.000   83.350         -0.236   24987866.805   24987866.847   24987867.874    -0.2448    -0.2028         -0.825     0.8000 
00030 E 27   74.200  357.700    1   -3970897.651   -3934748.098    5318166.803   -0.584   -1.257    0.125  -12110089.259  -11656916.954   24360095.502    0.318    0.398   -0.908     -73820.772    0.000    0.000   73.722         -0.418   22101433.143   22101433.081   22101433.901     0.0668     0.0045         -0.825     0.8000 
00030 E 30   30.400   77.700    1   -3970897.651   -3934748.098    5318166.803   -0.584   -1.257    0.125    6593271.217  -23043099.908   17367936.262   -0.321    0.700   -0.588    -244125.609    0.000    0.000   83.186         -0.667   24938477.857   24938477.811   24938478.639     0.0432    -0.0034         -0.825     0.8000 
00030 G 06   23.400  137.100    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137   -6080521.580  -25791198.113     564045.011   -0.030    1.454   -0.183     134609.311    1.144    0.000   74.941         -1.931   22466788.979   22466787.271   22466788.691    -0.5321    -2.2399          0.820     1.0000 
00030 G 12   23.200  275.600    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137  -21923062.346    7115927.962   12851708.845    0.584   -0.199   -0.352    -139881.131    0.799    0.000   74.673          3.911   22386423.733   22386421.922   22386422.536     0.3764    -1.4348          0.820     1.0000 
00030 G 14   15.400   81.700    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137   10153796.651  -21344538.479   11953412.637   -0.694    1.602   -0.847      88524.143    0.100    0.000   77.988          1.507   23380211.550   23380212.362   23380211.233    -0.5036     0.3082          0.820     1.0000 
00030 G 15   19.700  231.100    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137  -26521799.574   -2505477.810     851708.727    0.572    0.057   -0.023      34753.532    0.748    0.000   76.831        -10.626   23033351.959   23033349.597   23033350.571     0.5675    -1.7945          0.820     1.0000 
00030 G 17   40.900   51.600    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137    2627868.866  -15076085.709   22130138.258   -0.073    0.399   -0.585     215898.751    0.384    0.000   70.784         -3.163   21220639.592   21220639.181   21220638.705     0.0665    -0.3445          0.820     1.0000 
00030 G 19   69.900   77.200    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137   -7976711.808  -16920461.881   18804435.719    0.208    0.458   -0.513     127363.291   -1.776    0.000   63.863          6.121   19145620.857   19145622.586   19145619.816     0.2197     1.9487          0.820     1.0000 
00030 G 22   35.600   71.900    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137    4051548.092  -19623770.869   18012054.769   -0.144    0.684   -0.623      15115.350   -0.723    0.000   72.441          1.696   21717272.002   21717272.179   21717271.064     0.1173     0.2940          0.820     1.0000 
00030 G 24   61.700  290.800    1   -3970897.661   -3934748.107    5318166.815   -0.594   -1.266    0.137  -17114668.457   -4921333.557   19416495.673    0.581    0.267   -1.255    -123348.492    0.780    0.000   64.378         -9.015   19300128.441   19300127.582   19300127.932    -0.3116    -1.1703          0.820     1.0000 
00040 E 15   32.100  120.000    1   -3974429.462   -3989182.038    5274839.881   -0.581   -1.259    0.113   -2932561.161  -28688919.750    6667869.766   -0.006    0.995   -0.288     -23832.409    0.000    0.000   82.594         -0.580   24760917.124   24760917.365   24760918.094    -0.0979     0.1437         -0.872     0.8000 
00040 E 19   27.700  294.900    1   -3974429.462   -3989182.038    5274839.881   -0.581   -1.259    0.113  -19802374.626    8845547.007   20146157.784    0.786   -0.237   -0.562    -251132.365    0.000    0.000   84.149         -0.105   25227171.470   25227171.350   25227172.136     0.2069     0.0869         -0.872     0.8000 
00040 E 21   29.500  280.800    1   -3974429.462   -3989182.038    5274839.881   -0.581   -1.259    0.113  -23484428.075    6737003.922   16698193.305    0.842   -0.295   -0.750    -171858.475    0.000    0.000   83.470         -0.236   25023669.976   25023670.057   25023671.085    -0.2363    -0.1558         -0.872     0.8000 
00040 E 27   73.600  357.000    1   -3974429.462   -3989182.038    5274839.881   -0.581   -1.259    0.113  -12092532.114  -11673922.670   24360687.159    0.318    0.398   -0.908     -73820.801    0.000    0.000   73.779         -0.418   22118507.170   22118507.166   22118507.987     0.0550     0.0511         -0.872     0.8000 
00040 E 30   30.600   77.500    1   -3974429.462   -3989182.038    5274839.881   -0.581   -1.259    0.113    6605483.190  -23055541.093   17346808.193   -0.322    0.700   -0.587    -244125.702    0.000    0.000   83.137         -0.667   24923743.266   24923743.234   24923744.066     0.0724     0.0405         -0.872     0.8000 
00040 G 06   24.000  137.200    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125   -6078432.121  -25791052.753     596481.059   -0.030    1.453   -0.185     134609.269    1.144    0.000   74.709         -1.933   22397219.313   22397217.935   22397219.354    -0.7508    -2.1281          0.710     1.0000 
00040 G 12   22.900  276.200    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125  -21911858.771    7103167.931   12877356.624    0.584   -0.199   -0.353    -139881.145    0.799    0.000   74.780          3.904   22418517.136   22418515.366   22418515.976     0.4508    -1.3197          0.710     1.0000 
00040 G 14   15.500   81.700    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125   10166840.061  -21352890.822   11927152.273   -0.695    1.603   -0.845      88524.171    0.100    0.000   77.923          1.504   23360803.808   23360804.760   23360803.633    -0.5355     0.4172          0.710     1.0000 
00040 G 15   19.700  231.700    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125  -26523014.391   -2509124.752     820701.065    0.572    0.057   -0.022      34753.547    0.748    0.000   76.826        -10.623   23031905.300   23031903.090   23031904.050     0.5407    -1.6698          0.710     1.0000 
00040 G 17   40.800   51.100    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125    2653573.243  -15067654.418   22133009.679   -0.073    0.398   -0.585     215898.761    0.384    0.000   70.827         -3.150   21233485.211   21233484.853   21233484.372     0.1298    -0.2280          0.710     1.0000 
00040 G 19   70.100   75.300    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125   -7953806.194  -16912772.825   18820538.179    0.208    0.458   -0.514     127363.308   -1.776    0.000   63.844          6.120   19140026.532   19140028.372   19140025.593     0.2286     2.0693          0.710     1.0000 
00040 G 22   35.700   71.700    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125    4069253.837  -19636702.145   17993796.267   -0.144    0.685   -0.622      15115.343   -0.723    0.000   72.416          1.710   21709850.756   21709850.908   21709849.783     0.2634     0.4149          0.710     1.0000 
00040 G 24   61.200  291.800    1   -3974429.471   -3989182.048    5274839.893   -0.590   -1.269    0.125  -17122205.259   -4945745.206   19404320.311    0.581    0.268   -1.254    -123348.522    0.780    0.000   64.458         -9.023   19324110.662   19324109.929   19324110.280    -0.3270    -1.0599          0.710     1.0000 
00050 E 15   32.700  119.900    1   -3977698.156   -4043267.496    5231054.910   -0.578   -1.262    0.101   -2932521.683  -28682008.134    6697615.400   -0.006    0.995   -0.289     -23832.416    0.000    0.000   82.405         -0.580   24704466.981   24704467.158   24704467.891    -0.0558     0.1203         -0.854     0.8000 
00050 E 19   27.200  295.300    1   -3977698.156   -4043267.496    5231054.910   -0.578   -1.262    0.101  -19821911.517    8840430.488   20129174.017    0.787   -0.237   -0.561    -251132.142    0.000    0.000   84.319         -0.105   25278106.909   25278106.796   25278107.596     0.1667     0.0542         -0.854     0.8000 
00050 E 21   29.200  281.500    1   -3977698.156   -4043267.496    5231054.910   -0.578   -1.262    0.101  -23472014.661    6725710.264   16720183.513    0.842   -0.294   -0.750    -171858.481    0.000    0.000   83.591         -0.237   25059913.797   25059913.855   25059914.885    -0.2337    -0.1761         -0.854     0.8000 
00050 E 27   73.000  356.400    1   -3977698.156   -4043267.496    5231054.910   -0.578   -1.262    0.101  -12074987.628  -11690942.239   24361241.362    0.317    0.399   -0.908     -73820.829    0.000    0.000   73.839         -0.418   22136328.167   22136328.126   22136328.952     0.0687     0.0282         -0.854     0.8000 
00050 E 30   30.700   77.300    1   -3977698.156   -4043267.496    5231054.910   -0.578   -1.262    0.101    6617670.378  -23067976.891   17325653.461   -0.322    0.701   -0.587    -244125.794    0.000    0.000   83.089         -0.667   24909449.536   24909449.500   24909450.336     0.0542     0.0186         -0.854     0.8000 
