#SOD  LONEST    LATEST         ALTEST       CLKEST     GGTO   SOL NSVVIS NSV HPE     VPE      EPE     NPE     UPE    HDOP    VDOP    PDOP   
00000    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00010    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00020    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00390 -124.82286   27.09305    1343061.849     0.706    -5.520   1  16  16   0.243   0.083   0.062  -0.235  -0.083   0.656   1.283   1.441 
00400 -124.59300   26.61615    1342945.728     0.615    -5.262   1  15  15   0.281   0.108   0.089  -0.267  -0.108   0.671   1.365   1.521 
00410 -124.36539   26.13870    1342831.211     0.689    -5.380   1  15  15   0.282   0.029   0.062  -0.275   0.029   0.669   1.362   1.518 
00420 -124.13995   25.66072    1342718.115     0.732    -5.406   1  15  15   0.282   0.099   0.034  -0.280   0.099   0.668   1.361   1.516 
00430 -123.91664   25.18222    1342606.377     0.632    -5.344   1  14  14   0.265   0.001   0.026  -0.263   0.001   0.698   1.457   1.615 
00440 -123.69538   24.70322    1342496.360     0.640    -5.466   1  14  14   0.277   0.054  -0.008  -0.277   0.054   0.696   1.456   1.613 
00450 -123.47612   24.22373    1342388.000     0.703    -5.463   1  14  14   0.262   0.156  -0.033  -0.260   0.156   0.693   1.453   1.610 
00460 -123.25880   23.74376    1342281.153     0.684    -5.378   1  14  14   0.272   0.121  -0.039  -0.269   0.121   0.692   1.451   1.608 
00470 -123.04337   23.26333    1342175.997     0.685    -5.330   1  14  14   0.271   0.089  -0.025  -0.269   0.089   0.690   1.449   1.605 
00480 -122.82977   22.78245    1342072.597     0.718    -5.357   1  14  14   0.267   0.086  -0.022  -0.266   0.086   0.689   1.448   1.604 
00490 -122.61796   22.30114    1341970.934     0.720    -5.369   1  14  14   0.270   0.054  -0.009  -0.269   0.054   0.689   1.445   1.601 
00500 -122.40787   21.81940    1341871.114     0.714    -5.327   1  15  14   0.265   0.060  -0.011  -0.265   0.060   0.688   1.445   1.600 
00510 -122.19945   21.33725    1341773.096     0.667    -5.230   1  15  14   0.264   0.030  -0.009  -0.264   0.030   0.688   1.442   1.597 
00520 -121.99267   20.85470    1341676.942     0.632    -5.230   1  15  14   0.284   0.015   0.018  -0.283  -0.015   0.688   1.440   1.596 
